text,sentiment,customer_intent,primary_aspect,aspect_flag,aspect_sentiment,emotion,priority
great service with timely updates,2,2,4,fallback_support,2,1,0
awesome service,1,2,4,fallback_support,1,0,0
wrong product delivered fraud,1,0,4,fallback_support,0,4,3
self,1,1,4,fallback_support,1,0,0
ordered large size delivered wrong size,0,0,4,fallback_support,0,3,2
wrong product and bad experience,0,0,4,fallback_support,0,3,2
product not delivered please contact,0,0,4,support,0,3,2
he rude,0,0,3,behaviour,0,3,2
your service so good,2,2,4,fallback_support,2,1,0
wrong saree sent customer cheated wants return,0,0,7,refund,0,4,3
shipment called to alternate location,1,1,4,support,1,0,0
cheated with wrong product,0,0,4,fallback_support,0,4,3
wrong shipment received,0,0,4,fallback_support,0,3,2
consignment not delivered at doorstep delayed,0,0,0,delay,0,3,2
service good overall,1,2,4,fallback_support,2,1,0
damaged box due to mishandling,0,0,2,damage_lost,0,4,3
super service good staff,2,2,4,fallback_support,2,1,0
fraud product delivered different from advertisement refund requested,0,0,7,refund,0,4,3
I have not received the order Here it is showing delivered,0,0,2,damage_lost,0,4,3
warehouse staff lacks customer ethics,1,1,4,fallback_support,1,0,0
defective product return policy needed,1,1,7,refund,1,0,0
good product service,2,2,4,fallback_support,2,1,0
wrong item delivered please refund,0,0,7,refund,0,4,3
delivery executive threw parcel carelessly and did not ask for OTP,0,0,4,fallback_support,1,0,1
courier not delivered but system shows delivered,1,0,5,tracking,0,0,1
display product good but received product very bad quality,1,0,4,fallback_support,0,1,0
he do not deliver parcel no phone call he do go office collect parcel,0,0,4,support,1,0,1
payment done but product not received,0,0,2,damage_lost,0,4,3
very fast delivery and good staff,2,2,4,fallback_support,2,1,0
product miss,1,1,4,fallback_support,1,0,0
unsatisfied feeling,1,1,6,pricing,1,1,0
satisfied with communication with agent,2,2,4,fallback_support,2,1,0
want to cancel my order,1,1,4,fallback_support,1,0,0
too late delivery and no response to on-time delivery requests extremely disappointing,0,0,0,delay,0,3,2
consignment not delivered to address,0,0,5,tracking,0,3,2
order delayed after repeat followup,1,0,0,delay,0,2,2
parcel delivered on estimated time accurately,2,2,4,fallback_support,2,1,0
SENDING OF ATM CARD TO COMMUNICATION ADRESS AS REQUESTED BY CUSTOMER,1,1,4,fallback_support,1,0,0
delivery handed to security gate but parcel missing,1,0,2,damage_lost,0,0,0
product not working,0,0,4,fallback_support,1,0,1
delivery agent attitude rude,0,0,3,behaviour,0,3,2
on this delievery,1,1,4,fallback_support,1,0,0
parcel left at gate asked to collect,1,1,4,fallback_support,1,0,0
bad service no call office also no response,0,0,3,behaviour,0,3,2
product exchanged fraud by delivery person,0,0,7,refund,0,4,3
delivery staff lied about calling customer repeatedly,0,0,4,support,1,0,1
very rude behaviour,0,0,3,behaviour,0,3,2
need delivery executive contact after delivery,1,1,4,support,1,0,0
parcel delivered to unknown person please investigate,0,0,4,fallback_support,1,0,1
no proper service had to visit agent multiple times poor communication,0,0,4,fallback_support,0,3,2
blue dart failed to deliver important document,0,0,4,fallback_support,1,0,1
month long non delivery forced office pickup,0,0,4,fallback_support,1,0,1
parcel not delivered no call from bluedart,0,0,3,behaviour,0,3,2
good delivery handling,1,2,4,fallback_support,2,1,0
bahut achha service hai,2,2,4,fallback_support,2,1,0
delivery agent did not call or attempt delivery,0,0,3,behaviour,1,0,2
very very very happy,2,2,4,fallback_support,2,1,0
no call received on delivery,1,1,3,behaviour,1,0,0
delivery at wrong place,0,0,1,wrong_delivery,0,3,2
all good,2,2,4,fallback_support,2,1,0
ok ok not satisfied with service,0,0,4,fallback_support,2,1,1
extremely bad service will never order again,0,0,4,fallback_support,0,3,2
excellent service experience,2,2,4,fallback_support,2,1,0
service excellent,2,2,4,fallback_support,2,1,0
who received parcel confirmation needed,1,1,4,fallback_support,1,0,0
first time did not receive parcel,0,0,2,damage_lost,0,4,3
excellent performance keep it up,2,2,4,fallback_support,2,1,0
no inquiry number available poor support,1,1,4,support,0,0,0
package not delivered nor OTP shared,0,0,4,fallback_support,0,3,2
wrong delivery address forced pickup,0,0,4,fallback_support,0,3,2
service already on time no change needed,1,1,4,fallback_support,2,0,0
delivery boy misbehave horrible experience,0,0,3,behaviour,1,0,2
quality not good,1,2,4,fallback_support,2,1,0
so good,2,2,4,fallback_support,2,1,0
best delivery,2,2,4,fallback_support,2,1,0
fast smooth,1,2,4,fallback_support,2,0,0
ordered white received black,0,0,4,fallback_support,1,0,1
first emi issue not satisfied,1,0,4,fallback_support,0,1,0
order delivered to wrong person,0,0,1,wrong_delivery,0,3,2
delivery agent did not call and parcel not received,0,0,2,damage_lost,0,4,3
urgent document marked delivered but not received,1,1,2,damage_lost,0,0,0
defective item received,0,0,4,fallback_support,1,0,1
worst courier service fake remarks no calls,0,0,3,behaviour,0,3,2
less quantity received,1,1,4,fallback_support,1,0,0
shipment stuck at hub address error excuse repeated,1,1,4,fallback_support,0,0,0
always reliable service,2,2,4,fallback_support,2,1,0
ghar par nahi tha delivery ke time,1,1,4,fallback_support,1,0,0
product defect received,1,1,4,fallback_support,1,0,0
prompt polite delivery person,1,1,4,fallback_support,2,0,0
very fast delivery,1,1,4,fallback_support,2,0,0
always late delivery dissatisfied,0,0,0,delay,0,3,2
good job by delivery team,2,2,4,fallback_support,2,1,0
delivery left with guard not apartment,1,1,4,fallback_support,1,0,0
delivery marked to wrong person,0,0,4,fallback_support,0,3,2
excellent service beyond expectations,2,2,4,fallback_support,2,1,0
it not my phone pouch modelwhat u sendi dont want this product,0,0,4,fallback_support,1,0,1
good work excellent service,2,2,4,fallback_support,2,1,0
cheated received wrong order want seller details,0,0,4,fallback_support,0,4,3
order not received despite OTP given,1,1,2,damage_lost,0,0,0
extreme delay false daily delivery messages,0,0,0,delay,0,3,2
delivery partner charged extra money,1,1,6,pricing,1,0,0
not deliver but sms recieved delivered dont know why,0,0,4,fallback_support,1,0,1
fake parcel received,1,1,4,fallback_support,0,0,0
reduce gap between out for delivery and actual delivery,1,1,4,fallback_support,1,0,0
delivery done late compared to schedule,0,0,0,delay,0,3,2
status shows delivered but parcel not received,0,0,2,damage_lost,0,4,3
box damaged,1,0,2,damage_lost,0,3,3
package box damaged,0,0,2,damage_lost,0,4,3
material not yet received,0,0,4,fallback_support,1,0,1
nothing tell,1,1,4,fallback_support,1,0,0
document not received today,1,1,2,damage_lost,0,0,0
bank transaction issue explanation required,1,0,4,fallback_support,0,0,0
delivery person left parcel outside house,0,0,4,fallback_support,1,0,1
return order please,1,1,7,refund,1,0,0
urgent courier not delivered irregular answers,1,0,4,fallback_support,0,0,0
good service very fast,2,2,4,fallback_support,2,1,0
good behaviour well mannered,2,2,3,behaviour,2,1,0
real time parcel tracking via map should be provided,1,1,5,tracking,1,0,1
not door delivery,1,1,4,fallback_support,1,0,0
order offer mismatch buy one get one not honoured,1,1,4,fallback_support,1,0,0
delivery delayed disappointed,0,0,0,delay,0,3,2
irrelevant word,1,1,4,fallback_support,1,0,0
blue dart always trustworthy courier,2,2,4,fallback_support,2,1,0
received order,1,1,4,fallback_support,1,0,0
otp verified but parcel not delivered,1,0,4,fallback_support,0,0,0
delivery boy collected money for prepaid order,0,0,4,fallback_support,1,0,1
provide delivery agent contact number when shipment out for delivery,1,1,4,support,1,0,0
always best service,2,2,4,fallback_support,2,1,0
good delivery service,2,2,4,fallback_support,2,1,0
Account opening process is good provide more account types option through online.,2,2,4,fallback_support,2,1,0
prodect exchange by delivery person,1,1,7,refund,1,0,0
delivery boy rude and misbehaved,0,0,3,behaviour,0,3,2
love your service,2,2,4,fallback_support,2,1,0
received wrong order not what I ordered,0,0,4,fallback_support,0,3,2
we not receive parcel,1,1,4,fallback_support,1,0,0
joint account request,1,1,4,fallback_support,1,0,0
timely delivery polite staff,2,2,4,fallback_support,2,1,0
No sir,1,1,4,fallback_support,1,0,0
wrong size received need exchange,1,0,7,refund,0,0,0
oil stain on saree poor quality,0,0,4,fallback_support,0,3,2
order partially delivered missing items,1,0,2,damage_lost,0,0,0
wrong product received no exchange possible,0,0,7,refund,0,4,3
not deliver product,0,0,4,fallback_support,1,0,1
"Nahin 

",1,1,4,fallback_support,1,0,0
parcel reached hub but delivered poorly,0,0,4,fallback_support,0,3,2
rude abusive behaviour,0,0,3,behaviour,0,3,2
too late delivery,1,0,0,delay,0,0,1
color mismatch product,1,1,4,fallback_support,1,0,0
bad service parcel not received but marked delivered,0,0,2,damage_lost,0,4,3
great behaviour,2,2,3,behaviour,2,1,0
quality service,1,1,4,fallback_support,1,0,0
order correct but product fake delivery partner polite,1,1,4,fallback_support,0,0,0
it poor service,0,0,4,fallback_support,0,3,2
return product issue not resolved,0,0,7,refund,0,4,3
always late delivery not delivered at my location,0,0,0,delay,0,3,2
urgent consignment delivered late,1,0,0,delay,0,0,1
delivery not done,1,1,4,fallback_support,1,0,0
package intact,2,2,4,fallback_support,2,1,0
delivery timing coordination appreciated,1,1,4,fallback_support,2,0,0
very good behaviour,2,2,3,behaviour,2,1,0
during face to face delivery please talk politely with customer,1,1,4,fallback_support,2,0,0
address marked incorrect without confirmation,1,1,4,fallback_support,0,0,0
receive wrong product,0,0,4,fallback_support,0,3,2
delivery person update address not contactable,0,0,4,support,1,0,1
parcel received late,0,0,0,delay,0,3,2
didnt get my delivery yet,0,0,4,fallback_support,1,0,1
very fast efficient delivery,2,2,4,fallback_support,2,1,0
delivery facility very poor order misplaced,0,0,4,fallback_support,0,3,2
out for delivery as expected,1,1,4,fallback_support,1,0,0
delivery partner contact details needed,1,1,4,support,1,0,0
fine,1,1,4,fallback_support,1,0,0
share customer executive contact details,1,1,4,support,1,0,0
disappointed service,0,0,4,fallback_support,1,0,1
support team resolved issue quickly,2,0,4,support,0,1,0
bad service ever,0,0,4,fallback_support,0,3,2
no delivery service available had to collect personally,1,1,4,fallback_support,1,0,0
employee behaviour very good,2,2,3,behaviour,2,1,0
delivery person collected extra money,0,0,4,fallback_support,1,0,1
keep going great work,2,2,4,fallback_support,2,1,0
thanks for before time delivery,2,2,4,fallback_support,2,1,0
timely delivery polite delivery person,1,1,4,fallback_support,2,0,0
please deliver to my home address not nearby shop,1,1,4,fallback_support,1,0,0
delivery staff good but issue out of delivery msg come at pm order deliver at pm,1,0,4,fallback_support,0,1,0
delivery agent called appreciated,2,2,4,support,2,1,0
very good delivery boy,2,2,4,fallback_support,2,1,0
blue dart service always perfect,2,2,4,fallback_support,2,1,0
delivery after many days unacceptable delay,0,0,0,delay,0,3,2
yes,1,1,4,fallback_support,1,0,0
another order pending,1,1,4,fallback_support,0,2,1
NRO account not working for weeks unable to transfer money unclear process,0,0,4,fallback_support,1,0,1
blue dart always best,2,2,4,fallback_support,2,1,0
no responsible office staff,1,1,4,fallback_support,1,0,0
perfect,2,2,4,fallback_support,2,1,0
fantastic person,2,2,4,fallback_support,2,1,0
delivery partner waited due to customer delay,1,0,0,delay,0,2,2
delivery call handling poor,1,1,4,support,0,0,0
order incomplete received missing items,0,0,2,damage_lost,0,4,3
order delivery unreliable marked yesterday delivered today,0,0,4,fallback_support,1,0,1
please change my parsal,1,1,4,fallback_support,1,0,0
late service unacceptable delay,1,0,0,delay,0,2,2
didnt order this never placed order,0,0,4,fallback_support,1,0,1
worst company had to collect from office,0,0,4,fallback_support,0,3,2
didnt receive delivery very bad experience,0,0,4,fallback_support,0,3,2
do good,2,2,4,fallback_support,2,1,0
location information message,1,1,4,fallback_support,1,0,0
super person delivery,1,1,4,fallback_support,1,0,0
loan roi mis-selling complaint,0,0,4,support,0,3,2
super fast delivery,2,2,4,fallback_support,2,1,0
service excellent thanks delivery staff,2,2,4,fallback_support,2,1,0
wrong item given after otp,0,0,4,fallback_support,0,3,2
on time delivery good performance,2,2,4,fallback_support,2,1,0
smooth delivery,1,2,4,fallback_support,2,0,0
nice delivery service,2,2,4,fallback_support,2,1,0
please correct my name,1,1,4,fallback_support,1,0,0
overall smooth banking experience helpful staff,2,2,4,fallback_support,2,1,0
gentle man doorstep delivery,1,1,4,fallback_support,1,0,0
return product quality bad,1,0,7,refund,0,0,0
in my opinion,1,1,4,fallback_support,1,0,0
fast delivery good support,2,2,4,support,2,1,0
ordered white received black,1,1,4,fallback_support,1,0,0
service as per plan,1,1,4,fallback_support,1,0,0
service on time and good,2,2,4,fallback_support,2,1,0
rahul very professional as usual,2,2,4,fallback_support,2,1,0
received on scheduled time thank you,2,2,4,fallback_support,2,1,0
day deliver,1,1,4,fallback_support,1,0,0
delivery rules violated forced pickup from hub,0,0,0,delay,0,3,2
ohutdf,1,1,4,fallback_support,1,0,0
not deliver at mentioned address had to collect elsewhere,0,0,4,fallback_support,1,0,1
nice experience,2,2,4,fallback_support,2,1,0
wrong parcel delivered,0,0,4,fallback_support,0,3,2
bluedart delivering fraudulent products serious warning,0,0,4,fallback_support,1,4,3
professionalism,1,1,4,fallback_support,2,0,0
otp shared but parcel not received,0,0,2,damage_lost,0,4,3
need OTP system for delivery,1,1,4,fallback_support,1,0,0
fast good service,2,2,4,fallback_support,2,1,0
havent received order yet,0,0,4,fallback_support,1,0,1
request for credit card information,1,1,4,fallback_support,1,0,0
wrong product scam,0,0,4,fallback_support,0,4,3
good bank,2,2,4,fallback_support,2,1,0
delivery guy refused cancelled delivery,0,0,4,fallback_support,1,0,1
parcel late by day,1,0,0,delay,0,0,1
delivery marked without attempt,0,0,4,fallback_support,1,0,1
delay with false tracking info,1,0,0,delay,0,2,2
wel behave,1,1,4,fallback_support,1,0,0
product not delivered to me,0,0,4,fallback_support,0,3,2
bahot achha hai,1,1,4,fallback_support,1,0,0
never received call delivery not done,0,0,2,damage_lost,0,4,3
did not receive any parcel,0,0,2,damage_lost,0,4,3
wrong product sent want refund,0,0,7,refund,0,4,3
day late delivery always delayed,0,0,0,delay,0,3,2
go collect my own parcel they didnt even deliver after arrive two day before,0,0,4,fallback_support,1,0,1
delivery person very rude no civic sense,0,0,3,behaviour,0,3,2
wrong order received selfie stick replaced,1,0,4,fallback_support,0,0,0
abusive language product changed,1,1,4,fallback_support,1,0,0
delivery call before dispatch requested,1,1,4,support,1,0,0
pre diwali false delivery messages forced self pickup,0,0,4,fallback_support,1,0,1
very bad delayed delivery,0,0,0,delay,0,3,2
courier charges too high unfair,0,0,4,fallback_support,1,0,1
Excellent service and this is my first bank account in my career,2,2,4,fallback_support,2,1,0
not yet receive my parcel,1,1,4,fallback_support,1,0,0
delivery partner not supportive and wrong delivery,0,0,4,support,0,3,2
service commitment only words not action,1,1,4,fallback_support,1,0,0
very bad service no one responsible for shipment,0,0,4,fallback_support,0,3,2
office delivery failed despite prominent location,0,0,0,delay,0,3,2
wrong colour and size received,0,0,4,fallback_support,0,3,2
delivery returned by partner without reason,0,0,7,refund,0,4,3
excellent service by delivery partner,2,2,4,fallback_support,2,1,0
good logistics service no further comment,2,2,4,fallback_support,2,1,0
delivery staff rude not reached location,0,0,3,behaviour,0,3,2
Please open more branches at least one branch in every district,1,1,4,fallback_support,1,0,0
fraud shipper fake product issue,0,0,4,fallback_support,0,4,3
please collect alternate mobile number during booking,1,1,4,fallback_support,1,0,0
parcel not received but marked delivered,0,0,2,damage_lost,0,4,3
best service also really commendable thank you,2,2,4,fallback_support,2,1,0
extreme delivery delay,0,0,0,delay,0,3,2
plant damaged due to poor packing,1,0,2,damage_lost,0,3,3
very bad de,0,0,4,fallback_support,0,3,2
no grievance,1,1,4,support,1,0,0
status delivered but parcel not received,0,0,2,damage_lost,0,4,3
please deliver on time,1,1,4,fallback_support,2,0,0
parcel left at shop without delivery attempt,1,1,4,fallback_support,1,0,0
check your calls,1,1,4,support,1,0,0
packaging acceptable,1,1,4,fallback_support,1,0,0
pathetic experience but not abusive,1,1,4,fallback_support,1,0,0
very polite experienced delivery person,2,2,4,fallback_support,2,1,0
delivery service good,2,2,4,fallback_support,2,1,0
false delivery update rude supervisor behavior,0,0,3,behaviour,0,3,2
order not received yet,0,0,2,damage_lost,0,4,3
delivery updates should be frequent,1,1,4,fallback_support,1,0,0
delivery executive polite made my day,1,1,4,fallback_support,2,0,0
carton slightly damaged,1,0,2,damage_lost,0,3,3
delivery time incorrect,0,0,4,fallback_support,0,3,2
dont like service,0,0,4,fallback_support,1,0,1
delivery executive did not attempt delivery for days and marked false reasons,0,0,4,fallback_support,1,0,1
debit card not received overall banking experience good,2,2,2,damage_lost,0,1,0
it good delivery fast and safe,2,2,4,fallback_support,2,1,0
delivery boy calm nd vry humble im not able pick call still he deliver itom without any contact he find location that amaze so great experience,2,2,4,support,2,1,0
good bank account opening experience,2,2,4,fallback_support,2,1,0
transparent packaging requested,1,1,4,fallback_support,1,0,0
contact mentioned incorrect invoice issue,1,0,4,support,0,0,0
it not deliver medelivered wrong person,0,0,4,fallback_support,0,3,2
keep it up good work,2,2,4,fallback_support,2,1,0
product different from images shown,1,1,4,fallback_support,1,0,0
parcel came empty want refund,0,0,7,refund,0,4,3
delivery partner arrogant rude,0,0,3,behaviour,0,3,2
delivery person rude ruined experience,0,0,3,behaviour,0,3,2
pathetic poor service medicine not delivered despite express charge,0,0,4,fallback_support,0,3,2
best service in courier,2,2,4,fallback_support,2,1,0
bohot bekar delivery or bohot time liya h,1,1,4,fallback_support,1,0,0
prompt delivery,2,2,4,fallback_support,2,1,0
shipping sticker torn package opened,1,1,2,damage_lost,1,0,0
product missing and carton re-taped very bad practice,0,0,2,damage_lost,0,4,3
product bilkul bekar aya h mne kya suit mangaya tha or kya aya h bilkul suit alg or salwar plz return kariye,0,0,7,refund,0,4,3
love your agent behaviour,1,1,3,behaviour,1,0,0
marked delivered but not received at home,0,0,2,damage_lost,0,4,3
bekwas mujhe mila hi nahi order phir delivery kaise kar di,0,0,4,fallback_support,1,0,1
professional timely delivery approach,2,2,4,fallback_support,2,1,0
superfast delivery loved the service,2,2,4,fallback_support,2,1,0
delivery man collect money it free,1,1,4,fallback_support,1,0,0
delivery staff non cooperative rude tone,0,0,3,behaviour,0,3,2
cooperative very nice service,2,2,4,fallback_support,2,1,0
very third class service rude staff fake address reasons no home delivery,0,0,3,behaviour,0,3,2
fast account opening process,1,1,4,fallback_support,2,0,0
bad product receive,0,0,4,fallback_support,0,3,2
early delivery very good service,2,2,4,fallback_support,2,1,0
parcel received today,1,1,4,fallback_support,1,0,0
it perfect many thanks,2,2,4,fallback_support,2,1,0
delivery person waited but did not deliver properly,0,0,4,fallback_support,1,0,1
delivery representative rude response,0,0,3,behaviour,0,3,2
return order request,1,1,7,refund,1,0,0
courier did not deliver my shipment on time,0,0,4,fallback_support,2,0,1
received different product than ordered,0,0,4,fallback_support,1,0,1
delivery boy lazy forced office pickup unacceptable excuse,0,0,4,fallback_support,1,0,1
good service by delivery executive,2,2,4,fallback_support,2,1,0
delivery agent abusive language,0,0,4,fallback_support,1,0,1
received before expected delivery date,1,1,4,fallback_support,1,0,0
bank staff provided very good service,2,2,4,fallback_support,2,1,0
delivery time improvement required,1,1,4,fallback_support,1,0,0
ordered something else received something else,0,0,4,fallback_support,1,0,1
parcel arrived damaged,0,0,2,damage_lost,0,4,3
branch promised wealth account but did not deliver commitment poor experience,1,1,4,fallback_support,0,0,0
try faster delivery for critical shipments,1,1,4,fallback_support,2,0,0
delivery agent ignored instructions handed to security,0,0,4,fallback_support,1,0,1
wrong colour product received,1,0,4,fallback_support,0,0,0
service fine continue,1,1,4,fallback_support,1,0,0
did not receive one of two packages,0,0,2,damage_lost,0,4,3
bad and rough delivery,0,0,4,fallback_support,0,3,2
received message for order I never booked,0,0,4,fallback_support,1,0,1
worst service,0,0,4,fallback_support,0,3,2
request faster delivery time,1,1,4,fallback_support,2,0,0
delivery marked unavailable without call repeated issue,1,0,4,support,0,0,0
late delivery with false updates,0,0,0,delay,0,3,2
fast service but average experience,1,1,4,fallback_support,2,0,0
delivered in one day thank you,2,2,4,fallback_support,2,1,0
very poor experience,1,1,4,fallback_support,0,0,0
defected pc nikla,1,1,4,fallback_support,1,0,0
delivery boy sandeep rude behaviour,0,0,3,behaviour,0,3,2
delivery man abused refused to come upstairs,0,0,3,behaviour,1,0,2
havent receive my order,0,0,4,fallback_support,1,0,1
service ok,1,1,4,fallback_support,1,0,0
welcome kit sent to wrong address delay,1,0,1,wrong_delivery,0,2,2
material fraud issue reported,1,0,4,fallback_support,0,4,3
rude behaviour by delivery partner,0,0,3,behaviour,0,3,2
medicine order delay by day no communication that order delay,0,0,0,delay,0,3,2
service best staff helpful,2,2,4,fallback_support,2,1,0
hello,1,1,4,fallback_support,1,0,0
multiple delivery attempts without calling forced self pickup,0,0,4,support,1,0,1
delivery person have pleasant smile on his face which please see,2,2,4,fallback_support,2,1,0
delivery guy didnt deliver doorstep keep haggle come away from home also rude while talk,0,0,3,behaviour,0,3,2
had to go collect parcel,0,0,4,fallback_support,1,0,1
delivery partner could not reach address asked to pick courier from far location very poor service,0,0,4,fallback_support,0,3,2
bad delivery company,0,0,4,fallback_support,0,3,2
delivery agent stopped km before address,0,0,4,fallback_support,1,0,1
very good product,2,2,4,fallback_support,2,1,0
item not received yet,1,1,2,damage_lost,0,0,0
delivery partner very good,2,2,4,fallback_support,2,1,0
delivery person call confirm address,1,1,4,support,1,0,0
bad experience seal already open,0,0,4,fallback_support,0,3,2
my parcel arrived at blue dart store in november,1,1,4,fallback_support,1,0,0
delivery person rude left parcel,0,0,3,behaviour,0,3,2
bad experience order not received,0,0,2,damage_lost,0,4,3
shipment not delivered yet very important,1,0,0,delay,0,0,1
product missing,1,0,2,damage_lost,0,0,0
no additional comments,1,1,4,fallback_support,1,0,0
not doorstep delivery,0,0,4,fallback_support,1,0,1
wrong product material received used item after many follow ups,0,0,4,support,0,3,2
delivery boy took extra money,1,1,4,fallback_support,1,0,0
not received personally,0,0,2,damage_lost,0,4,3
delivery agent behaviour rude and impatient,0,0,3,behaviour,0,3,2
delivery speed worse than others,0,0,4,fallback_support,1,0,1
scamming people,0,0,4,fallback_support,1,4,3
blue dart courier service very bad and delayed,0,0,0,delay,0,3,2
delivery staff left parcel at security without verification,0,0,4,fallback_support,1,0,1
late delivery,1,0,0,delay,0,0,1
it very very bad experience with your coimbatore hubwhatever happen not first time similar incident take place four time so faryour delivery guy useless always give false reason for not deliver in this case they mention a address incomplete not correcti force collect from officeno proper response from your office at coimbatoreif this status of your delivery system,0,0,4,fallback_support,0,3,2
my name malini patel,1,1,4,fallback_support,1,0,0
delivery staff very good,2,2,4,fallback_support,2,1,0
blue dart delivery very poor product not delivered,0,0,4,fallback_support,0,3,2
everything good satisfied,2,2,4,fallback_support,2,1,0
delay reason address incorrect unacceptable,0,0,0,delay,0,3,2
polite prompt delivery person,1,1,4,fallback_support,2,0,0
iam not person,1,1,4,fallback_support,1,0,0
pathetic branch service,0,0,4,fallback_support,1,0,1
customer care and bank staff very friendly and helpful,2,2,4,support,2,1,0
false delivery attempts no call made,0,0,3,behaviour,1,0,2
always a pleasure,2,2,4,fallback_support,2,1,0
card otp taken but card not delivered,0,0,4,fallback_support,0,3,2
No changes required,1,1,4,fallback_support,1,0,0
very bad delivery no response from delivery boy,0,0,4,support,0,3,2
complaint against rude delivery rider,0,0,3,behaviour,0,3,2
please share delivery timing contact detail of delivery person,1,1,4,support,1,0,0
quick prompt follow up,2,2,4,support,2,1,0
poor service rude behaviour and wrong address delivery,1,0,1,wrong_delivery,0,3,2
excellent customer service always reliable,2,2,4,support,2,1,0
overall excellent service,2,2,4,fallback_support,2,1,0
bad quality,0,0,4,fallback_support,0,3,2
would like report issue regard my recent delivery delivery boy do not deliver order on time also provide incorrect information his officesystem regard delivery status,0,0,4,fallback_support,0,3,2
delivery before promised time appreciated,1,1,4,fallback_support,2,0,0
order dropped kilometers away and doorstep delivery denied rude behavior on call,0,0,3,behaviour,0,3,2
very poor service overall,0,0,4,fallback_support,0,3,2
devendra singh,1,1,4,fallback_support,1,0,0
very bad experience delayed delivery and very rude executive,0,0,0,delay,0,3,2
accha hai,1,1,4,fallback_support,1,0,0
delivery agent asked to collect from office,1,1,4,fallback_support,1,0,0
very good satisfy,2,2,4,fallback_support,2,1,0
very rude and uncooperative delivery agent shouted,0,0,3,behaviour,0,3,2
need more details,1,1,4,fallback_support,1,0,0
amazing order experience,2,2,4,fallback_support,2,1,0
do,1,1,4,fallback_support,1,0,0
delivery not attempted had to visit office,1,1,0,delay,1,0,1
delivery agent did not call falsely marked unavailable,1,1,3,behaviour,1,0,0
received wrong sunglass,1,0,4,fallback_support,0,0,0
delivery guy not polite,0,0,3,behaviour,2,0,2
wrong product delivered theft suspected,1,0,4,fallback_support,0,0,0
very good packaging and timing,2,2,4,fallback_support,2,1,0
still not received item,0,0,2,damage_lost,0,4,3
satyam kumar,1,1,4,fallback_support,1,0,0
attitude problem with delivery staff,1,0,4,fallback_support,0,0,0
"The survey link to provide feedback on opening the account has been sent even before the account being opened.

Inordinate delay in opening the account, while the online opening happened within few minutes.

",1,0,0,delay,0,2,2
service bed,1,1,4,fallback_support,1,0,0
very happy with service thank you,2,2,4,fallback_support,2,1,0
my parcel not delivered,0,0,4,fallback_support,0,3,2
track info not update properly,0,0,5,tracking,1,0,0
asked for full payment without change and behaved rudely,0,0,3,behaviour,0,3,2
no alternative contact used ivr flagged spam parcel delayed,0,0,0,delay,0,3,2
delivery boy not good,0,0,4,fallback_support,2,1,1
wrong item ordered,0,0,4,fallback_support,0,3,2
rude delivery behaviour late hub delivery,0,0,0,delay,0,3,2
no contact forced pickup,1,0,4,support,1,0,0
deliveey agent very good,2,2,4,fallback_support,2,1,0
excellent courier service best shipment,2,2,4,fallback_support,2,1,0
received different product than ordered,1,1,4,fallback_support,1,0,0
nothing to say,1,1,4,fallback_support,1,0,0
not bad,2,0,4,fallback_support,0,0,0
wrong envelope delivered,1,0,4,fallback_support,0,0,0
delivery guy helped despite address issue,2,0,4,fallback_support,0,0,0
package out for delivery but stayed at facility,1,1,4,fallback_support,1,0,0
did not get shipment,0,0,4,fallback_support,1,0,1
super service,2,2,4,fallback_support,2,1,0
delivered at security gate,1,1,4,fallback_support,1,0,0
Hey,1,1,4,fallback_support,1,0,0
please share approximate delivery time in message,1,1,4,fallback_support,1,0,0
bluedart service always up to mark,1,1,4,fallback_support,1,0,0
delivery person behave very nicely,2,2,4,fallback_support,2,1,0
size too small poor quality dress,0,0,4,fallback_support,0,3,2
delivery perfectly before time,2,2,4,fallback_support,2,1,0
colour changed bad,0,0,4,fallback_support,0,3,2
poor service delayed delivery,0,0,0,delay,0,3,2
delivery boy arrogant behaviour,0,0,3,behaviour,1,0,2
thank you for speedy delivery,2,2,4,fallback_support,2,1,0
firstly product arrive kollam pincode error message appear this badly affect delivery date,0,0,4,fallback_support,0,3,2
poor delivery manpower false customer unavailable status,0,0,4,fallback_support,0,3,2
did not deliver doorstep stopped at park,1,1,4,fallback_support,1,0,0
dont take parcel if you cant deliver,0,0,4,fallback_support,1,0,1
delivery boy refused doorstep delivery gave wrong product,1,0,4,fallback_support,0,0,0
poor product quality,0,0,4,fallback_support,0,3,2
delivery smooth and prompt,1,2,4,fallback_support,2,0,0
delivery agent refused to open and verify product behaved rudely shipment incomplete,0,0,3,behaviour,0,3,2
delivery boy was very good,2,2,4,fallback_support,2,1,0
no intimation no contact very pathetic service,0,0,3,behaviour,1,0,2
accurate timely safe delivery,1,1,4,fallback_support,2,0,0
please call after visit,1,1,4,support,1,0,0
order wrong item delivered,0,0,4,fallback_support,0,3,2
delivery time prior intimation suggested,2,2,4,fallback_support,2,1,0
order not received,1,1,2,damage_lost,0,0,0
delivery agent handed parcel to watchman without informing,1,1,4,fallback_support,1,0,0
product out for delivery on expected date,1,1,4,fallback_support,1,0,0
too late delivery unacceptable,0,0,0,delay,0,3,2
asked for delivery message unnecessarily,1,1,4,fallback_support,1,0,0
blue dart favourite highly recommended,2,2,4,fallback_support,2,1,0
