text,sentiment,customer_intent,primary_aspect,aspect_flag
delay with false tracking info,1,0,0,delay
wel behave,1,1,4,fallback_support
product not delivered to me,0,0,4,fallback_support
bahot achha hai,1,1,4,fallback_support
never received call delivery not done,0,0,2,damage_lost
did not receive any parcel,0,0,2,damage_lost
wrong product sent want refund,0,0,7,refund
day late delivery always delayed,0,0,0,delay
go collect my own parcel they didnt even deliver after arrive two day before,0,0,4,fallback_support
delivery person very rude no civic sense,0,0,3,behaviour
wrong order received selfie stick replaced,1,0,4,fallback_support
abusive language product changed,1,1,4,fallback_support
delivery call before dispatch requested,1,1,4,support
pre diwali false delivery messages forced self pickup,0,0,4,fallback_support
very bad delayed delivery,0,0,0,delay
courier charges too high unfair,0,0,4,fallback_support
Excellent service and this is my first bank account in my career,2,2,4,fallback_support
not yet receive my parcel,1,1,4,fallback_support
delivery partner not supportive and wrong delivery,0,0,4,support
service commitment only words not action,1,1,4,fallback_support
very bad service no one responsible for shipment,0,0,4,fallback_support
office delivery failed despite prominent location,0,0,0,delay
wrong colour and size received,0,0,4,fallback_support
delivery returned by partner without reason,0,0,7,refund
excellent service by delivery partner,2,2,4,fallback_support
good logistics service no further comment,2,2,4,fallback_support
delivery staff rude not reached location,0,0,3,behaviour
Please open more branches at least one branch in every district,1,1,4,fallback_support
fraud shipper fake product issue,0,0,4,fallback_support
please collect alternate mobile number during booking,1,1,4,fallback_support
parcel not received but marked delivered,0,0,2,damage_lost
best service also really commendable thank you,2,2,4,fallback_support
extreme delivery delay,0,0,0,delay
plant damaged due to poor packing,1,0,2,damage_lost
very bad de,0,0,4,fallback_support
no grievance,1,1,4,support
status delivered but parcel not received,0,0,2,damage_lost
please deliver on time,1,1,4,fallback_support
parcel left at shop without delivery attempt,1,1,4,fallback_support
check your calls,1,1,4,support
packaging acceptable,1,1,4,fallback_support
pathetic experience but not abusive,1,1,4,fallback_support
very polite experienced delivery person,2,2,4,fallback_support
delivery service good,2,2,4,fallback_support
false delivery update rude supervisor behavior,0,0,3,behaviour
order not received yet,0,0,2,damage_lost
delivery updates should be frequent,1,1,4,fallback_support
delivery executive polite made my day,1,1,4,fallback_support
carton slightly damaged,1,0,2,damage_lost
delivery time incorrect,0,0,4,fallback_support
dont like service,0,0,4,fallback_support
delivery executive did not attempt delivery for days and marked false reasons,0,0,4,fallback_support
debit card not received overall banking experience good,2,2,2,damage_lost
it good delivery fast and safe,2,2,4,fallback_support
delivery boy calm nd vry humble im not able pick call still he deliver itom without any contact he find location that amaze so great experience,2,2,4,support
good bank account opening experience,2,2,4,fallback_support
transparent packaging requested,1,1,4,fallback_support
contact mentioned incorrect invoice issue,1,0,4,support
it not deliver medelivered wrong person,0,0,4,fallback_support
keep it up good work,2,2,4,fallback_support
product different from images shown,1,1,4,fallback_support
parcel came empty want refund,0,0,7,refund
delivery partner arrogant rude,0,0,3,behaviour
delivery person rude ruined experience,0,0,3,behaviour
pathetic poor service medicine not delivered despite express charge,0,0,4,fallback_support
best service in courier,2,2,4,fallback_support
bohot bekar delivery or bohot time liya h,1,1,4,fallback_support
prompt delivery,2,2,4,fallback_support
shipping sticker torn package opened,1,1,2,damage_lost
product missing and carton re-taped very bad practice,0,0,2,damage_lost
product bilkul bekar aya h mne kya suit mangaya tha or kya aya h bilkul suit alg or salwar plz return kariye,0,0,7,refund
love your agent behaviour,1,1,3,behaviour
marked delivered but not received at home,0,0,2,damage_lost
bekwas mujhe mila hi nahi order phir delivery kaise kar di,0,0,4,fallback_support
professional timely delivery approach,2,2,4,fallback_support
superfast delivery loved the service,2,2,4,fallback_support
delivery man collect money it free,1,1,4,fallback_support
delivery staff non cooperative rude tone,0,0,3,behaviour
cooperative very nice service,2,2,4,fallback_support
very third class service rude staff fake address reasons no home delivery,0,0,3,behaviour
fast account opening process,1,1,4,fallback_support
bad product receive,0,0,4,fallback_support
early delivery very good service,2,2,4,fallback_support
parcel received today,1,1,4,fallback_support
it perfect many thanks,2,2,4,fallback_support
delivery person waited but did not deliver properly,0,0,4,fallback_support
delivery representative rude response,0,0,3,behaviour
return order request,1,1,7,refund
courier did not deliver my shipment on time,0,0,4,fallback_support
received different product than ordered,0,0,4,fallback_support
delivery boy lazy forced office pickup unacceptable excuse,0,0,4,fallback_support
good service by delivery executive,2,2,4,fallback_support
delivery agent abusive language,0,0,4,fallback_support
received before expected delivery date,1,1,4,fallback_support
bank staff provided very good service,2,2,4,fallback_support
delivery time improvement required,1,1,4,fallback_support
ordered something else received something else,0,0,4,fallback_support
parcel arrived damaged,0,0,2,damage_lost
branch promised wealth account but did not deliver commitment poor experience,1,1,4,fallback_support
try faster delivery for critical shipments,1,1,4,fallback_support
delivery agent ignored instructions handed to security,0,0,4,fallback_support
wrong colour product received,1,0,4,fallback_support
service fine continue,1,1,4,fallback_support
did not receive one of two packages,0,0,2,damage_lost
bad and rough delivery,0,0,4,fallback_support
received message for order I never booked,0,0,4,fallback_support
worst service,0,0,4,fallback_support
request faster delivery time,1,1,4,fallback_support
delivery marked unavailable without call repeated issue,1,0,4,support
late delivery with false updates,0,0,0,delay
fast service but average experience,1,1,4,fallback_support
delivered in one day thank you,2,2,4,fallback_support
very poor experience,1,1,4,fallback_support
defected pc nikla,1,1,4,fallback_support
delivery boy sandeep rude behaviour,0,0,3,behaviour
delivery man abused refused to come upstairs,0,0,3,behaviour
havent receive my order,0,0,4,fallback_support
service ok,1,1,4,fallback_support
welcome kit sent to wrong address delay,1,0,1,wrong_delivery
material fraud issue reported,1,0,4,fallback_support
rude behaviour by delivery partner,0,0,3,behaviour
medicine order delay by day no communication that order delay,0,0,0,delay
service best staff helpful,2,2,4,fallback_support
hello,1,1,4,fallback_support
multiple delivery attempts without calling forced self pickup,0,0,4,support
delivery person have pleasant smile on his face which please see,2,2,4,fallback_support
delivery guy didnt deliver doorstep keep haggle come away from home also rude while talk,0,0,3,behaviour
had to go collect parcel,0,0,4,fallback_support
delivery partner could not reach address asked to pick courier from far location very poor service,0,0,4,fallback_support
bad delivery company,0,0,4,fallback_support
delivery agent stopped km before address,0,0,4,fallback_support
very good product,2,2,4,fallback_support
item not received yet,1,1,2,damage_lost
delivery partner very good,2,2,4,fallback_support
delivery person call confirm address,1,1,4,support
bad experience seal already open,0,0,4,fallback_support
my parcel arrived at blue dart store in november,1,1,4,fallback_support
delivery person rude left parcel,0,0,3,behaviour
bad experience order not received,0,0,2,damage_lost
shipment not delivered yet very important,1,0,0,delay
product missing,1,0,2,damage_lost
no additional comments,1,1,4,fallback_support
not doorstep delivery,0,0,4,fallback_support
wrong product material received used item after many follow ups,0,0,4,support
delivery boy took extra money,1,1,4,fallback_support
not received personally,0,0,2,damage_lost
delivery agent behaviour rude and impatient,0,0,3,behaviour
delivery speed worse than others,0,0,4,fallback_support
scamming people,0,0,4,fallback_support
blue dart courier service very bad and delayed,0,0,0,delay
delivery staff left parcel at security without verification,0,0,4,fallback_support
late delivery,1,0,0,delay
it very very bad experience with your coimbatore hubwhatever happen not first time similar incident take place four time so faryour delivery guy useless always give false reason for not deliver in this case they mention a address incomplete not correcti force collect from officeno proper response from your office at coimbatoreif this status of your delivery system,0,0,4,fallback_support
my name malini patel,1,1,4,fallback_support
delivery staff very good,2,2,4,fallback_support
blue dart delivery very poor product not delivered,0,0,4,fallback_support
everything good satisfied,2,2,4,fallback_support
delay reason address incorrect unacceptable,0,0,0,delay
polite prompt delivery person,1,1,4,fallback_support
iam not person,1,1,4,fallback_support
pathetic branch service,0,0,4,fallback_support
customer care and bank staff very friendly and helpful,2,2,4,support
false delivery attempts no call made,0,0,3,behaviour
always a pleasure,2,2,4,fallback_support
card otp taken but card not delivered,0,0,4,fallback_support
No changes required,1,1,4,fallback_support
very bad delivery no response from delivery boy,0,0,4,support
complaint against rude delivery rider,0,0,3,behaviour
please share delivery timing contact detail of delivery person,1,1,4,support
quick prompt follow up,2,2,4,support
poor service rude behaviour and wrong address delivery,1,0,1,wrong_delivery
excellent customer service always reliable,2,2,4,support
overall excellent service,2,2,4,fallback_support
bad quality,0,0,4,fallback_support
would like report issue regard my recent delivery delivery boy do not deliver order on time also provide incorrect information his officesystem regard delivery status,0,0,4,fallback_support
delivery before promised time appreciated,1,1,4,fallback_support
order dropped kilometers away and doorstep delivery denied rude behavior on call,0,0,3,behaviour
very poor service overall,0,0,4,fallback_support
devendra singh,1,1,4,fallback_support
very bad experience delayed delivery and very rude executive,0,0,0,delay
accha hai,1,1,4,fallback_support
delivery agent asked to collect from office,1,1,4,fallback_support
very good satisfy,2,2,4,fallback_support
very rude and uncooperative delivery agent shouted,0,0,3,behaviour
need more details,1,1,4,fallback_support
amazing order experience,2,2,4,fallback_support
do,1,1,4,fallback_support
delivery not attempted had to visit office,1,1,0,delay
delivery agent did not call falsely marked unavailable,1,1,3,behaviour
received wrong sunglass,1,0,4,fallback_support
delivery guy not polite,0,0,3,behaviour
wrong product delivered theft suspected,1,0,4,fallback_support
very good packaging and timing,2,2,4,fallback_support
still not received item,0,0,2,damage_lost
satyam kumar,1,1,4,fallback_support
attitude problem with delivery staff,1,0,4,fallback_support
"The survey link to provide feedback on opening the account has been sent even before the account being opened.

Inordinate delay in opening the account, while the online opening happened within few minutes.

",1,0,0,delay
service bed,1,1,4,fallback_support
very happy with service thank you,2,2,4,fallback_support
my parcel not delivered,0,0,4,fallback_support
track info not update properly,0,0,5,tracking
asked for full payment without change and behaved rudely,0,0,3,behaviour
no alternative contact used ivr flagged spam parcel delayed,0,0,0,delay
delivery boy not good,0,0,4,fallback_support
wrong item ordered,0,0,4,fallback_support
rude delivery behaviour late hub delivery,0,0,0,delay
no contact forced pickup,1,0,4,support
deliveey agent very good,2,2,4,fallback_support
excellent courier service best shipment,2,2,4,fallback_support
received different product than ordered,1,1,4,fallback_support
nothing to say,1,1,4,fallback_support
not bad,2,0,4,fallback_support
wrong envelope delivered,1,0,4,fallback_support
delivery guy helped despite address issue,2,0,4,fallback_support
package out for delivery but stayed at facility,1,1,4,fallback_support
did not get shipment,0,0,4,fallback_support
super service,2,2,4,fallback_support
delivered at security gate,1,1,4,fallback_support
Hey,1,1,4,fallback_support
please share approximate delivery time in message,1,1,4,fallback_support
bluedart service always up to mark,1,1,4,fallback_support
delivery person behave very nicely,2,2,4,fallback_support
size too small poor quality dress,0,0,4,fallback_support
delivery perfectly before time,2,2,4,fallback_support
colour changed bad,0,0,4,fallback_support
poor service delayed delivery,0,0,0,delay
delivery boy arrogant behaviour,0,0,3,behaviour
thank you for speedy delivery,2,2,4,fallback_support
firstly product arrive kollam pincode error message appear this badly affect delivery date,0,0,4,fallback_support
poor delivery manpower false customer unavailable status,0,0,4,fallback_support
did not deliver doorstep stopped at park,1,1,4,fallback_support
dont take parcel if you cant deliver,0,0,4,fallback_support
delivery boy refused doorstep delivery gave wrong product,1,0,4,fallback_support
poor product quality,0,0,4,fallback_support
delivery smooth and prompt,1,2,4,fallback_support
delivery agent refused to open and verify product behaved rudely shipment incomplete,0,0,3,behaviour
delivery boy was very good,2,2,4,fallback_support
no intimation no contact very pathetic service,0,0,3,behaviour
accurate timely safe delivery,1,1,4,fallback_support
please call after visit,1,1,4,support
order wrong item delivered,0,0,4,fallback_support
delivery time prior intimation suggested,2,2,4,fallback_support
order not received,1,1,2,damage_lost
delivery agent handed parcel to watchman without informing,1,1,4,fallback_support
product out for delivery on expected date,1,1,4,fallback_support
too late delivery unacceptable,0,0,0,delay
asked for delivery message unnecessarily,1,1,4,fallback_support
blue dart favourite highly recommended,2,2,4,fallback_support
osam,1,1,4,fallback_support
seamless banking process zero balance and app improvement suggestion,1,1,4,fallback_support
exchange requested not satisfied,1,1,7,refund
order yet to be delivered,1,1,4,fallback_support
package not delivered,0,0,4,fallback_support
nice experience,1,2,4,fallback_support
site report that delivery center,1,1,4,fallback_support
fast reliable service,2,2,4,fallback_support
very bad experience,0,0,4,fallback_support
forced to collect parcel due to lack of transport at neelambur office repeated false updates unacceptable service,0,0,4,fallback_support
address delivery failed network issue poor service,0,0,0,delay
prompt polite delivery appreciated,2,2,4,fallback_support
different product received scam,0,0,4,fallback_support
address incorrectly marked despite successful past deliveries,1,1,4,fallback_support
delivery delay and rude staff behaviour,0,0,0,delay
courier boy not talk,1,1,4,fallback_support
premium service expectation not met,1,1,4,fallback_support
still not received very bad service,0,0,2,damage_lost
worst courier service in surat,0,0,4,fallback_support
late delivery very rd class service delivery not door door service delivery boy say take your parcel near by location not deliver at adress,0,0,0,delay
I have not received this parcel but it shows that I have received it,1,1,2,damage_lost
not satisfied customer care not responding,0,0,4,support
parcel already reached city but not delivered,1,0,4,fallback_support
delivery person handed product to someone else,0,0,4,fallback_support
Communication with customer is not good in kothapet branch ,0,0,4,fallback_support
received parcel on time,1,1,4,fallback_support
false consignee unavailable status updated without contact forced office pickup,0,0,4,support
delivery took too much time,1,1,4,fallback_support
forced self pickup despite paying delivery charges,0,0,4,fallback_support
fast service hdfc bank,1,1,4,fallback_support
dilivery boy nahi aana chahte hain bolte hain galat pin code hai aapka lekin aisa nahi haihamesa kosis karte hain otp mangne ka or order cancel kar dete hain lekin ish baar mai bahut samjhai tab ja kar aaye or phir bahana bana rahe please consider this problem,1,0,4,fallback_support
do not want this,1,1,4,fallback_support
did not get parcel,0,0,4,fallback_support
very bed service,1,1,4,fallback_support
prediction date not accurate but service good,2,2,4,fallback_support
good performance,2,2,4,fallback_support
on time good delivery,2,2,4,fallback_support
return parcel bad smell,0,0,7,refund
delivered to landmark instead of address,1,1,4,fallback_support
need delivery person contact number,1,1,4,support
material poor need return,0,0,7,refund
well mannered behaviour,1,1,3,behaviour
order parcel of r while order pay r but at time of delivery he ask r deny for pay but he say that then cancel your order not deliver your order,0,0,4,fallback_support
courier boy rude behaviour unacceptable,0,0,3,behaviour
excellent delivery happy to receive this shipment,2,2,4,fallback_support
card delivery failed and marked delivered,0,0,0,delay
prepaid order marked delivered but not received agent unreachable,0,0,2,damage_lost
very pleased parcel arrived safe,2,2,4,fallback_support
get msg that it deliver today morning but get product by pm,0,0,4,fallback_support
delivery boy lacks manners,1,1,4,fallback_support
quality mismatch from images,0,0,4,fallback_support
good keep it up,2,2,4,fallback_support
order not delivered,0,0,4,fallback_support
consignment not delivered but status shows delivered,1,0,5,tracking
shipment not received yet,0,0,2,damage_lost
your service is very good,2,2,4,fallback_support
pickup and dispatch too slow,0,0,4,fallback_support
excellent delivery experience,2,2,4,fallback_support
delivery agent falsely marked not available,0,0,4,fallback_support
packet stuck at center since Wednesday,1,1,4,fallback_support
fake item received,1,1,4,fallback_support
very nice service,2,2,4,fallback_support
overall good but need agent phone number in advance,1,2,4,fallback_support
wrong product delivered fake item,0,0,4,fallback_support
not yet delivered,1,1,4,fallback_support
delayed four days collected from store,0,0,0,delay
try delivering at correct address,1,1,4,fallback_support
delivery refused to come upstairs,1,1,4,fallback_support
please inform at least one hour before delivery,1,1,4,fallback_support
delivery not make at give address even without call reach at address status be show that consignee not available once call make receive parcel from store come store receive parcel bad service,0,0,4,support
delivery marked out but never arrived,0,0,4,fallback_support
need delivery agent contact number,1,1,4,support
shipment not delivered had to collect personally,1,0,4,fallback_support
nice experience overall,2,2,4,fallback_support
delivery complete shown but not received,1,1,2,damage_lost
bank envelope misplaced,0,0,4,fallback_support
delivery person well mannered give me full change without any excuse,2,2,4,fallback_support
wrong colour received,1,0,4,fallback_support
deliver product asap,1,1,4,fallback_support
delivery person honest returned full change,2,2,7,refund
good safe fast,2,2,4,fallback_support
excellent service overall,2,2,4,fallback_support
payment issue amount collected wrongly,1,0,6,pricing
Worst video kyc process,0,0,4,fallback_support
incorrect order received,0,0,4,fallback_support
good experience nothing to add,2,2,4,fallback_support
nothing needs to be changed,2,2,4,fallback_support
associate demanded extra money rude behaviour,0,0,3,behaviour
misleading customer unacceptable behaviour,1,1,3,behaviour
kind of approach behaviour not up mark he should be polite not arrogant even under pressure,1,1,3,behaviour
delivery contact number required,1,1,4,support
product quality bad,0,0,4,fallback_support
good service delivered on time,2,2,4,fallback_support
nice delivery boy,2,2,4,fallback_support
trustworthy courier partner always on time,2,2,4,fallback_support
did not receive parcel at all,0,0,2,damage_lost
no idea,1,1,4,fallback_support
delivery timeline unclear no response,0,0,4,support
deliver all order together instead separately,1,1,4,fallback_support
very nice good person,2,2,4,fallback_support
good delivery boy behaviour,2,2,3,behaviour
very good best service,2,2,4,fallback_support
impressed,2,2,4,fallback_support
very nice service keep it up,2,2,4,fallback_support
fake website wrong product received,0,0,4,fallback_support
great features compared to other banks,2,2,4,fallback_support
deliver item promptly after confirmation,1,1,4,fallback_support
want to return my parcel because it is defective,0,0,7,refund
not received shipment,1,1,2,damage_lost
delivery very late shipment not delivered no calls or delivery attempts,0,0,0,delay
best delivery boy service,2,2,4,fallback_support
product delivery delayed bad experience,0,0,0,delay
definitely,1,1,4,fallback_support
it was good delivery,2,2,4,fallback_support
didnt receive order,0,0,4,fallback_support
delivery safe and on time very happy,2,2,4,fallback_support
exilent,1,1,4,fallback_support
not delivered on time please share location,0,0,0,delay
Wodd Service Experience,1,1,4,fallback_support
fake product scam delivered,0,0,4,fallback_support
The person who delivered my card was exceptionally calm and patient,2,2,4,fallback_support
good service happy with delivery,2,2,4,fallback_support
your executive never deliver parcel my address,0,0,4,fallback_support
missing product in parcel,1,0,4,fallback_support
perfect product,2,2,4,fallback_support
area not serviceable delivery failed,0,0,0,delay
delivery agent very nice,2,2,4,fallback_support
scam totally got scammed,0,0,4,fallback_support
best work by team,2,2,4,fallback_support
shipment not received yet,1,1,2,damage_lost
bad way of navigating even talk customer wouldnt recommend it anyone,0,0,4,fallback_support
delivery agent should not shout customer name publicly,1,1,4,fallback_support
service best but charges expensive,1,1,4,fallback_support
delay in delivery,1,0,0,delay
delivery agent demanded money,0,0,4,fallback_support
best service ever with good delivery boy,2,2,4,fallback_support
no response had to go nearby location to collect parcel,0,0,4,support
did not receive order but status shows delivered,0,0,2,damage_lost
delivery staff humble and polite,2,2,4,fallback_support
promised delivery in hours took one day,0,0,4,fallback_support
"Bad service, delivery delayed",0,0,0,delay
package not received,0,0,2,damage_lost
Noo,1,1,4,fallback_support
delivery not received please verify,0,0,2,damage_lost
delivery boy rude and unprofessional behaviour,0,0,3,behaviour
door delivery not done had to visit warehouse,0,0,4,fallback_support
delivery person threw document without otp,0,0,4,fallback_support
not responsible,1,1,4,fallback_support
order deliver on time delivery agent understand instruction deliver right place,1,1,4,fallback_support
delivery guy polite,2,2,4,fallback_support
OTP shared but parcel not delivered fraud concern,0,0,4,fallback_support
delivery agent polite but delayed,1,0,0,delay
service disaster phone not answered,1,1,4,fallback_support
did not receive my product,0,0,2,damage_lost
package broken damaged,0,0,2,damage_lost
fake delivery nothing delivered,1,1,4,fallback_support
call before arrival request,1,1,4,support
parcel arrived one day early,2,2,4,fallback_support
delivery partner bad not cooperative at all,0,0,4,fallback_support
timely proper delivery,2,2,4,fallback_support
ok ok,1,1,4,fallback_support
havent receive courier,1,1,4,fallback_support
company track system need take care,1,1,5,tracking
partial order received,1,1,4,fallback_support
we use youf exemplary service keep it uo,1,1,4,fallback_support
courier guy didnt come door insisted pickup outside,0,0,4,fallback_support
excellent professional timely delivery satisfied,2,2,4,fallback_support
empty cardboard received,0,0,4,fallback_support
delivery discarded at wrong doorstep without call,0,0,4,support
product quality poor want return,0,0,7,refund
very late delivery service,0,0,0,delay
delivery executive rude parcel not delivered,0,0,3,behaviour
please update by call,1,1,4,support
did not get any delivery,0,0,4,fallback_support
delivery as promised,1,1,4,fallback_support
customer feedback account opening delay,1,0,0,delay
my package not deliver me where my parcel,0,0,4,fallback_support
not received courier but message shows delivered no call,1,1,2,damage_lost
great delivery by mr ratan,2,2,4,fallback_support
parcel deliver but not receive at give address nice communication good,1,2,4,fallback_support
excellent on time service,2,2,4,fallback_support
too much time taken,1,1,4,fallback_support
false reasons for delay repeated bad experience,0,0,0,delay
supar,1,1,4,fallback_support
delivered away from home address,1,1,4,fallback_support
it is perfect,2,2,4,fallback_support
very bad cloth quality,0,0,4,fallback_support
shipment delivered to unknown person without contact,1,1,4,support
v good delivery partner,2,2,4,fallback_support
worst service parcel kept at hub had to self collect,0,0,4,fallback_support
worst service product damaged leaked,0,0,2,damage_lost
missing items in parcel,1,0,2,damage_lost
no thanks,1,2,4,fallback_support
quick delivery good service,2,2,4,fallback_support
very poor irresponsible service,0,0,4,fallback_support
fake tracking entry by associate,0,0,5,tracking
package received safely polite delivery person,2,2,4,fallback_support
delivere experience very bad,0,0,4,fallback_support
received damaged product,0,0,2,damage_lost
rare polite and humble people appreciated,1,1,4,fallback_support
delivery person not well behave,0,0,4,fallback_support
parcel received safely though delayed acceptable,2,0,0,delay
excellent delivery,2,2,4,fallback_support
sahi time pe saman nahi jata hai,1,1,4,fallback_support
received wrong product please contact scam case,0,0,4,support
delivery delayed and not received yesterday very disappointed,0,0,2,damage_lost
insurance death cover suggestion,1,1,4,fallback_support
ordered something else received different item,1,1,4,fallback_support
worst service delivery agent did not respond or deliver to home address,0,0,4,fallback_support
Delivery of Debit Card was atrocious repeated false consignee not available reports and no resolution,0,0,4,fallback_support
order reached hub delivery agent did not contact rescheduled repeatedly had to collect item,0,0,3,behaviour
delivery agent behaviour good but very delayed,1,0,0,delay
item not delivered today,0,0,4,fallback_support
please return item,1,1,7,refund
item missing in delivery,0,0,2,damage_lost
partial order received refund requested,1,0,7,refund
on time delivery,1,1,4,fallback_support
parcel returned but credit points reduced,1,1,7,refund
delivery person polite found new address,1,1,4,fallback_support
courier not delivered to address,0,0,4,fallback_support
receive on time but minor request if possible then please share number of delivery person when package out for delivery,1,1,4,fallback_support
not same as shown in picture,0,0,4,fallback_support
delivery boy supportive and helpful,2,2,4,support
delivery misprint address but resolved later,1,0,0,delay
sender details missing and faulty product delivered,0,0,4,fallback_support
highly,1,1,4,fallback_support
quick delivery,1,1,4,fallback_support
please deliver order on time,1,1,4,fallback_support
very late delayed delivery,0,0,0,delay
cheating business dirty torn saree delivered instead of ordered product,0,0,2,damage_lost
need accurate timely delivery info no fake sms,1,1,4,fallback_support
consistent delivery delays with vendor,0,0,0,delay
on time arrival,1,1,4,fallback_support
nothing improve,1,1,4,fallback_support
deliver exact original items as advertised,1,1,4,fallback_support
very very bad service not recommended,0,0,4,fallback_support
delivery man rude to senior citizen,0,0,3,behaviour
service great no change needed,2,2,4,fallback_support
ok delivery,1,1,4,fallback_support
want to cancel my order due to issue,0,0,4,fallback_support
delay due to delivery person leave,1,0,0,delay
good service on time,2,2,4,fallback_support
vare good keep it up,2,2,4,fallback_support
welcome kit missing cheque book,1,0,4,fallback_support
nice good service,2,2,4,fallback_support
shipment not delivered despite multiple follow ups unacceptable delay,0,0,0,delay
product superb sound quality,2,2,4,fallback_support
delay service,0,0,0,delay
fast service very happy on time delivery,2,2,4,fallback_support
please deliver product faster,1,1,4,fallback_support
delivery person calm patient professional,2,2,4,fallback_support
not delivered on time,0,0,0,delay
replacement requested product quality not good,0,0,7,refund
delivery delayed due to lack of delivery staff,0,0,0,delay
best delivery agent,2,2,4,fallback_support
delivery man awesome behaviour,2,2,3,behaviour
deliver on time iam happy,2,2,4,fallback_support
fake delivery status without calling customer,0,0,5,tracking
delivery staff rude spoke badly,0,0,3,behaviour
wrong order delivered,0,0,4,fallback_support
work seems impossible,1,1,4,fallback_support
need better communication,1,1,4,fallback_support
rude behaviour towards family member,0,0,3,behaviour
best of friend bobby good service,2,2,4,fallback_support
return product poor quality,0,0,7,refund
avoid fraud check before delivery,1,1,4,fallback_support
return requested wrong item delivered,1,0,7,refund
return requested without reason,1,1,7,refund
receive courier on scheduled time thank you,2,2,4,fallback_support
smooth on time polite delivery,2,2,4,fallback_support
keep going,1,1,4,fallback_support
delivery man should call before coming,1,1,4,support
parcel marked delivered but not received,1,1,2,damage_lost
parcel delivered to unknown location,0,0,4,fallback_support
best service very good hospitality,2,2,4,fallback_support
charged different COD for same place unfair practice,0,0,6,pricing
fake product image shown different item delivered,0,0,4,fallback_support
Keep updated about the tracking status,1,1,5,tracking
good sound,2,2,4,fallback_support
service superb keep it up,2,2,4,fallback_support
abusive language feedback,0,0,6,pricing
courier delivered to unknown person,1,1,4,fallback_support
it very nice rate thank you team divine hindu blue dart team,2,2,4,fallback_support
No iam not interested KYC update,0,0,4,fallback_support
tracking system poor no delivery contact,0,0,5,tracking
delivery guy keep ring bell very much in hurry rude,0,0,3,behaviour
package tampered seal broken,0,0,2,damage_lost
polite and sweet courier person,2,2,4,fallback_support
good service staff behaviour nice,2,2,3,behaviour
customer service needs improvement,0,0,4,support
extremely poor delayed damaged delivery,0,0,2,damage_lost
parcel given to security without informing,1,1,4,fallback_support
your service very timely behaviour of your delivery boy also very cordial,2,2,3,behaviour
bad delivery,0,0,4,fallback_support
delivery personnel unprofessional and in hurry,0,0,3,behaviour
wrong stock delivered,1,0,4,fallback_support
delay as per expected date,1,0,0,delay
want return received wrong parcel,0,0,7,refund
your delivery boy manner of communication very poor he didnt come my address deliver parcel instead,0,0,4,fallback_support
not deliver home,1,1,4,fallback_support
item received by someone else status shows delivered,1,1,4,fallback_support
return requested size too small,1,1,7,refund
delivery time should add in form,1,1,4,fallback_support
good fast delivery,2,2,4,fallback_support
not deliver at door step,0,0,4,fallback_support
too much delay staff avoiding delivery,0,0,0,delay
right time delivery proper manner,1,1,4,fallback_support
minimal calls,1,1,4,support
size issue exchange requested,1,0,7,refund
bluedart delivery boy very nice friendly behaviour,2,2,3,behaviour
havent received package yet,0,0,4,fallback_support
premium jacket quality excellent,2,2,4,fallback_support
bluedart delivery staff not deliver at my addresshe call me at other location which from my current addressi tell him that deliver at my current address then he say that your current address bluedart dont deliver at that location as well a say that if you dont come then submit this item in hdfc bank,0,0,4,support
great service overall,2,2,4,fallback_support
parcel misplaced warehouse pickup wasted day,0,0,4,fallback_support
my parcel not delivered kindly send me signature,1,0,4,fallback_support
last few deliveries seal open,0,0,4,fallback_support
delivery partner well behaved,2,2,4,fallback_support
parcel handed to unknown person urgent,0,0,4,fallback_support
good service in time delivery,2,2,4,fallback_support
delivery staff misbehaved while handling check book,0,0,3,behaviour
thanks for quick smooth delivery,2,2,4,fallback_support
quality not well,0,0,4,fallback_support
good service by ankit,2,2,4,fallback_support
very fast delivery,2,2,4,fallback_support
product damaged in transit,1,0,2,damage_lost
delivery extremely late,1,0,0,delay
everything was good staff behaviour nice,2,2,3,behaviour
very late delivery false report of premise close whereas no delivery attempt for last two day,0,0,0,delay
very very bad experience with bluedart,0,0,4,fallback_support
We are proud to have joined IDFC Bank first of its kind excellent experience,2,2,4,fallback_support
agency not recommended insufficient staff,0,0,4,fallback_support
delivery date confusion,1,1,4,fallback_support
change product,1,1,4,fallback_support
perfume packaging damaged and disappointing,0,0,2,damage_lost
courier receive nov but daily out for delivery,0,0,4,fallback_support
thanks for timely delivery,2,2,4,fallback_support
good enough,2,2,4,fallback_support
parcel not delivered to named recipient,1,0,4,fallback_support
very fast accurate delivery,2,2,4,fallback_support
order l size delivery size,1,1,4,fallback_support
minimum deposit amount should be reduced,1,1,4,fallback_support
sender fraud,0,0,4,fallback_support
return order link needed,1,1,7,refund
cannot receive my parcel,0,0,4,fallback_support
executive never attempted delivery and falsely updated status,0,0,4,fallback_support
very bad product,1,0,4,fallback_support
no complaints good service,2,2,4,support
return request,1,1,7,refund
very disappointed delivery delay,0,0,0,delay
good behaviour and polite communication,2,2,3,behaviour
fraud product received online,0,0,4,fallback_support
received call,1,1,4,support
bad service no responsibility,0,0,4,fallback_support
no delivery attempt made had to collect from hub,0,0,4,fallback_support
item missing,0,0,2,damage_lost
wonderful banking experience with idfc,2,2,4,fallback_support
hassle free on time delivery,2,2,4,fallback_support
inform customer before delivery time slot,1,1,4,fallback_support
