text,industry,sentiment,customer_intent,primary_aspect,aspect_sentiment,emotion,priority
please improve video kyc process no agent was available when i was opening my account after days video kyc agent was available therefore have a request please make sure agent will be available during video kyc link clicking otherwise show message for not availability,banking,1,3,13,1,4,0
very easy to understand the process to open a savings account with fast and reliable kyc process from my existing credit card account,banking,2,3,2,1,4,0
still didnt receive my debit card,banking,0,1,7,0,1,3
mujhe bataya gaya tha zero balance pay account khulega balance koi maintain nahin karna padega lekin bad mein pata chala ki ismein minimum rakhna hi padega,banking,0,1,8,0,1,3
you can also exceed the variety of accounts for kids and woman today is the modern time most of the women used mobile and they are using bank the women are using bc program for months the are very eager of savings please exercise on it,banking,1,5,13,1,4,0
less branches when open account need self cheque require must be open account with cash money,banking,1,3,9,1,4,1
the offer showed on app havent been given to me though ac being opened via other online mode instead of mobile app,banking,0,1,3,1,4,0
executives to maintain dairy customer requirements,banking,1,5,13,1,4,0
you have taken about days to make the existing account as joint,banking,0,1,13,1,4,0
your branch is small hardly sitting is there executives to maintain a dairy for feedback,banking,1,5,1,1,4,0
you must train your customers to use your app yhis is very important to retain customers,banking,1,5,3,1,4,1
you need to get your processes correct big time in this day and age who takes a week to open an account my previous account did not take so much time extremely poor by your own standards,banking,0,1,13,0,4,0
your agent is totally unprofessional he didnt keep any of his assurance he doesnt care for precious time value,banking,0,1,13,1,4,0
your amb on savings account is too hight that is which didnt satisfy students like me and other poor people like wage earners,banking,0,1,13,0,4,0
your are doing fantastic job keep growing thanks,banking,2,2,13,1,5,0
your bank is also no exception when providing worst experience to nri customers,banking,0,1,13,0,0,2
get your back end it crowd to get in touch with me asap and solve my problems and thereby your banks problems and do some work to earn their wages otherwise change your it staff,banking,0,1,13,0,4,0
after all everything was ease and fine on the process just keep check your online account opening server always for which it should be alive thanks,banking,1,3,13,1,6,0
everything is good just keep it up,banking,2,2,13,1,4,0
its all over best experience now hope for better experience in future,banking,2,6,13,1,4,0
customer care experience very bad over on experience by account opening was good please please quickly resolve this problem of the customer care as quick as possible overall agents are good i have good experience with the agents but the customer care not responsible also not connecting please resolve this problem,banking,0,1,6,0,4,0
yes i didnt get my welcome kit without that i cant use my account,banking,0,1,13,1,4,0
give me personal loan lakh only or credit card k for imporve my cv score and like died with everything good wealth health policy car insurance car loan and good bhaviour both with us,banking,1,5,2,1,4,0
very good service provided by mrinmoy mondal he is very knowledgeable about the product and process and very kind towards senior citizens like us i was amazed by the way he made me understand about the benefits of having savings account with idfc first bank also he was able to cater to our queries on mobile banking as i hardly have any knowledge about the same i wish him very successful career ahead,banking,2,2,11,1,6,0
improve your online process for online account opening banks agents are not entertain you if you open your account with lesser minimum balance many other points needs to consider,banking,0,1,8,1,1,2
i want to open zero balance savings account but there is no information regarding what i truly wish to desire,banking,1,3,8,1,4,0
excellent service for account opening,banking,2,2,5,2,5,0
nri saving account for seafarer should be open online without visiting any branch,banking,1,5,9,1,4,1
everything in the idfc first bank is perfect and extra comfortable,banking,2,6,13,1,4,0
kindly arrange to send me the debit card urgently to my overseas address,banking,1,5,7,1,4,0
good process,banking,2,2,13,1,4,0
branch select option not available,banking,1,5,9,1,4,1
account opening was a seamless experience thanks for that,banking,2,2,13,1,6,0
a timely issuance of debit card,banking,2,6,7,1,4,0
awesome experience nice and well maintained server,banking,2,2,13,1,5,0
improve the connectivity for video kyc all others are best,banking,1,6,13,1,4,0
overall experience is great,banking,2,2,13,1,5,0
kyc complete but still showing in not completed in mobile application,banking,0,1,3,1,4,0
so far i found the most quickly i have ever opened account with idfc but its long way to go as needs to realise how the banking service to customer will be followed in near future that is the most matters,banking,1,3,13,1,4,0
you have a great guy in sayan bhowmik who impressed me a great deal just by his attitude,banking,2,2,13,1,5,0
was given misleading information at branch they refused to open account if minimum balance of rs was chosen phone banking executive said exact opposite both online and branch executive have wrong info about process to update address,banking,0,1,8,1,4,0
great product and services of your bank,banking,2,2,13,1,5,0
very nice app fast,banking,2,2,3,2,6,0
very nice keep it up,banking,2,2,13,1,4,0
kamlesh the relationship manager at c ergo branch was very helpful,banking,2,2,9,2,6,0
open zero balance saving account,banking,1,5,8,1,4,0
till now i have not deposited any money because of pending kyc i have approached my rm on call and asked for further process she told me that i will call back after checking with administration department and also insisted on opening of account physically instead of online but till now she has not replied hats off to the service provided,banking,0,0,3,0,4,0
how much amount will be required to open the account this information should be given before opening the account,banking,1,3,13,1,4,0
debit card is missing from welcome kit,banking,0,1,7,0,1,3
please arrange phone call by experienced agent before account opening thanks,banking,1,5,13,1,6,0
its been very good,banking,2,2,5,2,6,0
good job by idfc representative jahnvi,banking,2,2,13,1,4,0
best bank but not available my city personal loan,banking,1,6,2,1,4,0
the video kyc was not successful in my case and it has been four days since ive been unable to complete it now my account is frozen the kyc representative and the branch manager rahul havent bothered to take my calls regarding the physical kyc process they keep giving me vague responses saying they will get back to me the next day only to delay again i have tried to speak with rahul the branch manager but even after numerous messages calls and requests they do not seem to prioritize my concerns i appreciate the way ive been treated thank you,banking,0,0,3,0,6,0
account opening through manual process involving cheque deposit is such a cumbersome process that i really got tired waiting to get the account active wish they could have given me diff mode of fund deposit option,banking,0,0,13,1,4,0
all are very nice services,banking,2,2,5,2,6,0
you have a wonderfull app and service customer shld be provided with more schemes and offers,banking,1,5,3,1,4,1
i had a great experience,banking,2,2,5,2,5,0
i will not recommend to anybody because idfc not maintaining privacy of customer,banking,0,1,13,1,4,0
urgent service,banking,1,5,13,1,4,0
mohit has been a great help in opening this account many thanks,banking,2,2,13,1,5,0
great keep it up,banking,2,2,13,1,5,0
account opening is good but any another experience is have more i have understand your bank so pls give sum time tq,banking,1,5,13,1,4,0
good bank service,banking,2,2,13,1,4,0
awesome service,banking,2,2,5,2,5,0
the app and banking services is very seamless the transaction are extremely smooth my only complain is that i dont have any credit card offers even after maintaining l amb kindly please look into this,banking,1,5,2,1,4,0
lower variant should be available for saving account bank can attract even lower level people and provide opportunities to be part of bank,banking,1,5,13,1,4,0
in operations services is very good,banking,2,2,5,2,6,0
initially i had been to idfc urban branchnear benz circle they said minimum balance in sb of rs has to be maintained although i wish to take fd for rs lakhs hence i thaught of going for another branch of yours i had been to iti college road office and came to know that in rural branches the minimum balance of rs itself is sufficient and directed one concerned person of gollapudi branch and i could do fd s for rs lakhs there hence all branches may be provided with self explanatory note on your bank to improve your business,banking,1,5,8,1,4,0
nothing to be improved great experience and glad to have an account with idfc first bank,banking,2,2,5,2,5,0
idfc advertising that customer does not have to visit any branch whereas in every concern phone banker is saying visit the branch theyll be able to help here if it was so i wont even take a chance to open an account and over burden myself very poor service and experience after opening the account,banking,0,1,9,0,4,0
scope for improvement in online kyc verification,banking,1,5,13,1,4,0
best experience i have had till date,banking,2,6,13,1,4,0
kindly improve the credit card process whenever i apply for credit card it only refresh me to fd credit card,banking,1,3,2,1,4,0
i recently opened a savings account with idfc first bank and the experience was smooth and hasslefree the staff was friendly wellinformed and guided me through the entire process with great professionalism i appreciate the transparency and efficiency during the account setup the mobile banking app is userfriendly and i love the zero balance feature along with competitive interest rates overall im very satisfied with the service and would definitely recommend idfc first bank to others,banking,2,2,3,2,5,0
u have no branch near by we have to go km,banking,0,1,9,1,4,0
balance account must be better,banking,1,5,13,1,4,0
good service of relationship manager,banking,2,2,5,2,6,0
opend account online but vkyc not complete or failed without any reason visited branch for kyc,banking,0,1,9,0,4,0
i am happy about the onboarding through videokyc account opening process with ease and speed,banking,2,2,3,2,5,0
had a wonderful experience with the relationship manager of malleswaram bangalore branch was extremely helpful and guided wherever it was necessary very helpful and polite officer,banking,2,2,9,2,6,0
overall good user friendly all in one place excellent,banking,2,2,13,1,5,0
simultaneously issuing of debit card,banking,2,6,7,1,4,0
very good experience have a great work from idfc team,banking,2,2,5,2,5,0
kyc idfc first bank,banking,1,5,13,1,4,0
it was a great experience as the services received were very satisfying and exceeded our expectations special mention for ms bhumi who was readily available in providing instant support wherever required wish all the best,banking,2,2,5,2,5,0
bank services are so good,banking,2,2,13,1,4,0
the overall experience is great but i think you should mention it in more places than one where the interest is there only if you have l in your account,banking,1,3,13,1,5,0
video kyc conenctivity was an issue,banking,0,1,13,0,4,0
account accept kiya jaye,banking,1,5,13,1,4,0
minimum balance of rs for senior citizen is my primary concern,banking,1,5,8,1,4,0
minimum balance could be kept as rs account opening was very fast and hassle free,banking,1,5,8,1,4,0
the document verification team should know what a title deed ownership document is they were looking for expiry date of the document assuming it was a rental agreement i provided the government web site were the validity of the document can be verified but was not accepted by the team similarly i provided the latest utility bill for gas connection the bill clearly says its for a quarter issued every months the team did not accept it they demanded monthly bill,banking,0,1,13,0,4,0
i was told by dbm that account would be opened under wealth category and i should be receiving my wealth debit card within days account was not opened in wealth category and i had to follow ups to get the status and the wealth debit card overall experience with branch staff is not good had a discussion with branch manager as well and he was also sounding clueless no update was provided by branch manager as well although he promised to revert i didnt get what was promised to me so not a happy customer i have nronre accounts in other banks and services are great including the relationship manager assigned to me,banking,0,0,7,1,5,0
need credit card,banking,1,5,2,1,4,0
very smooth process of account opening,banking,2,2,5,2,6,0
great service by lokesh sir,banking,2,2,13,1,5,0
the employee name himanshu chaudhary explain the account features in a very good manner i appreciate his efforts also as he is opened this account after the banking hours,banking,2,2,3,2,6,0
i opened my account at march after days i didnt receive my atm card and cheque book,banking,0,1,7,1,4,0
hello opening a savings account with idfc first bank is easy but after opening account problem begins staff daily calls you to take policy and other things thanks,banking,0,1,13,0,6,0
good experiencei glad to open account in idfc bank,banking,2,2,13,1,4,0
please call me back on my alternate number to let me know whether its a digital or physical account if digital why rs average monthly balance required,banking,1,3,13,1,4,0
pls provide facility on branch opening k varient on branch visit your employee say that dont have account opening of k they only option k account open on branch,banking,0,1,9,1,4,0
account opening process involved toonmuch time in collecting physical copies and again asking to get different documents which were not asked before it took nearly week time with so many calls with customer executive following up with process,banking,0,1,13,1,4,0
ac me qr code scen problem,banking,0,1,13,0,4,0
idfc bank is best interest and service provide by customer,banking,2,3,13,1,4,0
none as of now the process was all fine except for the time taken which was over upto one week for the account to get activated steps to activate kids debit card was not clear and hence took a lot of time,banking,1,3,7,1,4,0
it is very good in handling account,banking,2,2,5,2,6,0
all services really good and amazing specially netbanking,banking,2,2,13,1,5,0
im very with the service from idfc first bank bandra west branch,banking,2,6,9,2,6,0
best experience as a banking customer,banking,2,6,13,1,4,0
did not receive checkbook during welcome kit,banking,0,1,13,1,4,0
very nice operation and sales staff are very frank,banking,2,2,13,1,4,0
good services from branch end,banking,2,2,9,2,6,0
it is not difficult rather impossible to reach a customer care executive through your customer care number the ivr system doesnt provide an option to speak to a human additionally i did not receive a prompt response even after writing to the ombuds team i expect customer support queries to be acknowledged and resolved within hours which is a standard i have consistently experienced with other financial institutions,banking,0,1,6,2,4,0
train your staff better,banking,0,1,13,1,4,0
the way she approached and explain the product i am impressed and account opening process took just minutes and mobile app is very much useful and sales executive know each and everything of the product and process i would appreciate that lady for quick process and response,banking,2,2,3,2,4,0
excellent service by ashish kumar kankarbagh branch,banking,2,2,9,2,5,0
you could have informed me that account being opened requires minimum balance of inr rather i could have been offered option to choose my minimum balance,banking,0,1,8,0,1,3
video kyc not working in mobile,banking,0,1,13,0,4,0
wrost coustomer care services ask for branch to visit while account open online worst experience,banking,0,1,9,0,0,2
overall great,banking,2,2,13,1,5,0
best class banking and good interaction with executive,banking,2,2,13,1,4,0
namaste sir your bank is very reputed and has a prominent position in india for its good service and your bank provides good support to people in their financial mattersour account was opened in your bank after getting loan approval through paisa bazarbut the way the female executive who called us for verification before giving the loan behaved with us it seems that such people are worried about your bankthe result of not giving a loan is that we have taken loans in the past but there is no late fee or check bounce or cibill rank deficiency in italso if our record is in default or we have a lot of outstanding loans we also accept that our loan may be rejected even though the title is completely clear but we are not only dependent on your bankour work is done but we are giving this reply because if you keep such staff your bank will only suffer losses in the long run we are not sad that we did not get the loan but we are sad that we did not get the right resultand it also makes sense that you need customers with defaulters and late fees as well as those who are not practical rather than those with good recordsfinally i would like to say that i am sorry that you could not complete our valuation and that due to your failure we were lucky to get a loan from a better bank than yours and at a lower interest rate your policy was goodalso in the coming days we will make this thing viral in our account credit card account my husbands credit card account as well as in our group circle whatsapp group instagram and we will inform you that idfc bank this type of service is provided so that we can show everyone our own experience of not opening an account in this bank,banking,0,1,2,0,3,3
after visiting branch my kyc is pending staff tells me to come later but after calling they tell me to come other day it irritates me,banking,0,0,9,0,4,0
overall experience is good but idfc first bank app user interface and experience is average also need to improvement for understand easy way,banking,1,5,3,2,4,1
thank you athira for your support in my account opening journey,banking,2,2,5,2,6,0
i want idfc bank credit card please provide me,banking,1,5,2,1,4,0
i was a very good experience in opening account with idfc,banking,2,2,5,2,6,0
very very good experience and growing bank is this,banking,2,2,5,2,6,0
if anyone opening account through aadhar card so why physically verification required,banking,1,3,13,1,4,0
good overall experience easy website process,banking,2,2,13,1,4,0
i am fully satisfied with the professional approach demonstrated by your officials before during and after the account opening process,banking,2,2,3,2,6,0
havent receive the atm card delivered i need the branch to readdress,banking,0,1,7,0,1,3
the kyc video had some glitches when i try to complete for the first few attempts or may be the kyc rep did not join the video call could have caused the issue,banking,0,1,13,0,4,0
yes fix the issues in the account opening process that caused mismatch of the fullname all the process mentioned below should be digital like account opening signature update reekyc name updates and account closure,banking,1,1,13,0,4,0
your executive have given me wrong information about the account features and given wrong commitments after that he is not picking my calls and not responding since last days very unprofessional behaviour,banking,0,1,6,2,4,0
no improvement all good thanks to the banking agent to make process seamless,banking,2,2,13,1,6,0
inspire of back office telephonic confirmation back office has frequently about times rejected the proposal and delayed the account name addition process while fdr application kept pending for this reason not known what they wanted and who fulfilled those deficiencies similarly cheque deposited for clearing was also abnormally delayed kept in branch for about days before sending it for clearance all those emails sent raising these grievances are unanswered till date,banking,0,0,3,0,4,0
time taken to open account should be minimize,banking,1,5,13,1,4,0
keep up the good work,banking,2,2,13,1,4,0
i found that a customer should not pick up your bank customer care executive call to open a savings account as he will not come forward to help if any issue arises at the same time bank employees in the account related branch wont respect or cooperate as they lost business for not opening account directly with the bank from the new customer now i cant find your customer care executive who advised me to open online account to resolve my issue or cant get cooperation from your branch employees in bangalore yelahanka branch to get resolved my issues this is management fault who cant coordinate online customer care executives and bank employees a customer should need to maintain good relationship with his own bran employees but online phone call executives spoiling these relationship joining in between but management dont want to sort out thus issues as they want only business this is management fault i didnt get my desired debit card because i opened online savings account with the advice of customer care executive,banking,0,1,7,0,1,3
compulsory account open for granting loan is not good thing,banking,0,1,2,1,1,2
firstly please have the option of opening a joint account online as well if you cannot then do not mislead potential customers to the link of single account opening secondly the bank executives should be trained more on the basic understanding of joint account my bank executives never mentioned tht we will get two customer ids for transactions i got to know abt it when i called customer care to enquire why all otps goes to other mobile number and not my mine,banking,0,1,6,1,4,0
dear sirmadam i got the consumer loan within minutes we decided to operate the saving account as well as current account also we open the on line saving account complete the video kyc but still cant operate this because of kyc in progress sorry to say this is very bad experience,banking,0,1,2,0,1,3
good service continue,banking,2,2,5,2,6,0
jaspreet kunal are very much knowledgeable to provide explanation to me about the saving account i will encourage them to continue the good service to every clients keep up the good work jaswant singh,banking,2,2,5,2,6,0
limit for online and offline should be calculate by system by itswlf we ahould not assign it,banking,0,1,13,0,4,0
i told the bank relationship manager about the nature of transaction i would undertake even though it was beyond the maximum net banking transfer limit of inr,banking,0,1,13,1,4,0
now it is taking time to increase the limit which is affecting my work,banking,0,0,13,1,4,0
interest rate and monthly interest debit in to account,banking,1,3,10,1,4,0
need to change process,banking,0,1,13,1,4,0
how the customer will know about rewards on first transaction in advance,banking,0,1,11,1,4,0
there is no clarity,banking,0,1,13,1,4,0
is it through upi or bank transfer etc,banking,0,1,13,1,4,0
after transaction its should not came please check your network connection please try again after sometime this should be corrected,banking,0,1,13,1,4,0
please transaction limit increase,banking,0,1,13,1,4,0
still not working after almost two weeks failed to even transfer money into my nro acct not sure how long will it take and the overall process is not clear,banking,0,0,13,0,4,0
should be able to open joint account irrespective of the present address since you can take adhaar consent to self sign current address,banking,1,5,13,1,4,0
as for opening account more details must be given about all features of the banking services,banking,1,3,13,1,4,0
isme ek suggestions he ki kise bhi death ho vo usme cover hojana chiye baki sab baraber he,banking,1,5,13,1,4,0
it wld be better to be responsive in the beginning at the start instead of rushing at the end when the customer doesnt have time to complete the formalities,banking,0,1,13,1,4,0
ji kuchh bank health insurance or smart cash policy dete hai jaise ki kotak mahindra bank agar vo skeem or hoti to or achha tha,banking,1,5,13,1,4,0
make process smoothened,banking,1,3,13,1,4,0
proper dissemination of information coupled with implementation of assurances should be the prerogative,banking,1,3,2,1,4,0
nothing much,banking,1,5,13,1,4,0
just a suggestion to increase the strength of your team,banking,1,5,13,1,4,0
it seems a lot of burden on one person,banking,0,1,13,1,4,0
make your team bigger,banking,1,5,13,1,4,0
offer customers more choices not just basic account,banking,1,5,11,1,4,0
pl take care give preference to senior citizen whether dealing with saving ac or other txn,banking,1,5,13,1,4,0
i would suggesta hard copy of fdr must be given to the depositor as soft copy may not serve good purpose for family in case of future need i am not provided a hard copy of fdr made at jamnagar branch on kindly do needful,banking,0,1,9,2,4,0
the account was first opened in my name and later added the joint holder,banking,1,5,13,0,4,0
it would have been better if the whole process is completed in one go rather than two steps,banking,0,1,13,1,4,0
time limit and amount limit on adding fresh beneficiary,banking,0,1,13,1,4,0
to understand the customer need and to give right direction or suggestions,banking,1,5,13,1,4,0
yes the bank could have given instructions to keep the pan card aadhar card pen and white paper ready,banking,1,5,13,1,4,0
executives to maintain dairy customer requirements,banking,1,5,13,1,4,0
time taken to open account should be minimize,banking,0,1,13,1,4,0
all good branch staff was good,banking,2,2,9,2,6,0
aapki vikas puri branch ke employee shayad nitin naam hai bahut badtameez hain unhe badal do bas baaki sab ok hai thank you,banking,0,1,9,0,0,2
your executive by the name shraddha who works in the chembur branch has been really helpful throughout the process i loved her attitude and behaviour there is nothing else required to improve the experience provided by the bank,banking,2,2,9,2,6,0
lack of knowledge of the banking services provided by the bank itself hence handling of customer are not at requirements result customer service is affected and to some extent customers are unnecessary harrassed,banking,0,1,13,1,4,0
however atitude and behaviour of all employees of the bank is excellent only lack of knowledge of the bank services offered by the bank itself it is due to inadequate training offered to staffs employees of the bank,banking,0,1,11,1,5,0
good service provided by your relationship manager rakesh kumar,banking,2,2,5,2,6,0
happy customer and you have great staff who is always ready to assist,banking,2,2,3,2,5,0
everything was good except the kyc during pm was terrible call got disconnected times i couldnt complete tried after pm it was smooth,banking,0,1,13,1,4,0
the staff promptness and service doesnt leave the need for anything else,banking,2,6,13,1,4,0
good behaviour by customer,banking,2,2,13,1,4,0
service is very good and staff is very cooperative,banking,2,2,5,2,6,0
application is very technofriendly,banking,2,3,3,2,6,0
good effort from rahul a staff in idfc trivandrum vellayambalam branch,banking,2,2,9,2,6,0
bank employee shubham zende did smooth processing for ac opening,banking,2,2,5,2,6,0
explained all the benefits and features,banking,2,6,11,1,4,0
good staff and good bank,banking,2,2,13,1,4,0
at present no improvement necessary bank officials are good shri mallikarjun katkam having good knowledge of banking with idfc,banking,2,2,13,1,4,0
to be honest there is nothing to say overall wonderfull experience with account opening process,banking,2,3,13,1,4,0
would the best idfc bank for me good bank and customer care,banking,2,2,6,2,6,0
is it through upi or bank transfer etc,banking,1,5,13,1,4,0
after transaction its should not came please check your network connection please try again after sometime this should be corrected,banking,0,1,13,1,4,0
please transaction limit increase,banking,0,1,13,1,4,0
still not working after almost two weeks failed to even transfer money into my nro acct not sure how long will it take and the overall process is not clear,banking,0,0,13,0,4,0
should be able to open joint account irrespective of the present address since you can take adhaar consent to self sign current address,banking,1,5,13,1,4,0
as for opening account more details must be given about all features of the banking services,banking,1,3,13,1,4,0
isme ek suggestions he ki kise bhi death ho vo usme cover hojana chiye baki sab baraber he,banking,1,5,13,1,4,0
it wld be better to be responsive in the beginning at the start instead of rushing at the end when the customer doesnt have time to complete the formalities,banking,0,1,13,1,4,0
ji kuchh bank health insurance or smart cash policy dete hai jaise ki kotak mahindra bank agar vo skeem or hoti to or achha tha,banking,1,5,13,1,4,0
make process smoothened,banking,1,3,13,1,4,0
proper dissemination of information coupled with implementation of assurances should be the prerogative,banking,1,3,2,1,4,0
nothing much,banking,1,5,13,1,4,0
just a suggestion to increase the strength of your team,banking,1,5,13,1,4,0
it seems a lot of burden on one person,banking,0,1,13,1,4,0
make your team bigger,banking,1,5,13,1,4,0
offer customers more choices not just basic account,banking,1,5,11,1,4,0
pl take care give preference to senior citizen whether dealing with saving ac or other txn,banking,1,5,13,1,4,0
i would suggesta hard copy of fdr must be given to the depositor as soft copy may not serve good purpose for family in case of future need i am not provided a hard copy of fdr made at jamnagar branch on kindly do needful,banking,0,1,9,2,4,0
the account was first opened in my name and later added the joint holder,banking,1,5,13,0,4,0
it would have been better if the whole process is completed in one go rather than two steps,banking,0,1,13,1,4,0
time limit and amount limit on adding fresh beneficiary,banking,0,1,13,1,4,0
to understand the customer need and to give right direction or suggestions,banking,1,5,13,1,4,0
yes the bank could have given instructions to keep the pan card aadhar card pen and white paper ready,banking,1,5,13,1,4,0
executives to maintain dairy customer requirements,banking,1,5,13,1,4,0
time taken to open account should be minimize,banking,0,1,13,1,4,0
all good branch staff was good,banking,2,2,9,2,6,0
aapki vikas puri branch ke employee shayad nitin naam hai bahut badtameez hain unhe badal do bas baaki sab ok hai thank you,banking,0,1,9,0,0,2
ni,banking,1,5,13,1,4,0
your executive by the name shraddha who works in the chembur branch has been really helpful throughout the process i loved her attitude and behaviour there is nothing else required to improve the experience provided by the bank,banking,2,2,9,2,6,0
lack of knowledge of the banking services provided by the bank itself hence handling of customer are not at requirements result customer service is affected and to some extent customers are unnecessary harrassed,banking,0,1,13,1,4,0
however atitude and behaviour of all employees of the bank is excellent only lack of knowledge of the bank services offered by the bank itself it is due to inadequate training offered to staffs employees of the bank,banking,0,1,11,1,5,0
good service provided by your relationship manager rakesh kumar,banking,2,2,5,2,6,0
happy customer and you have great staff who is always ready to assist,banking,2,2,3,2,5,0
everything was good except the kyc during pm was terrible call got disconnected times i couldnt complete tried after pm it was smooth,banking,0,1,13,1,4,0
the staff promptness and service doesnt leave the need for anything else,banking,2,6,13,1,4,0
good behaviour by customer,banking,2,2,13,1,4,0
service is very good and staff is very cooperative,banking,2,2,5,2,6,0
application is very technofriendly,banking,2,3,3,2,6,0
good effort from rahul a staff in idfc trivandrum vellayambalam branch,banking,2,2,9,2,6,0
bank employee shubham zende did smooth processing for ac opening,banking,2,2,5,2,6,0
explained all the benefits and features,banking,2,6,11,1,4,0
good staff and good bank,banking,2,2,13,1,4,0
at present no improvement necessary bank officials are good shri mallikarjun katkam having good knowledge of banking with idfc,banking,2,2,13,1,4,0
to be honest there is nothing to say overall wonderfull experience with account opening process,banking,2,3,13,1,4,0
would the best idfc bank for me good bank and customer care,banking,2,2,6,2,6,0
pl provide self pass book printing in branch as this is very tedious to printi pass book because staff deputed for the same remains almost busy in banks other activities,banking,0,1,9,1,4,0
thanks,banking,2,2,13,1,6,0
your sales person rm simran singh behavior and nature is very good,banking,2,2,5,2,6,0
thank you anuja mam for your guidance you make me understand so properly,banking,2,2,5,2,6,0
the agents should be well versed with the mandatory and important details which needs to filled by the customer to get the process smooth in one go,banking,1,3,13,1,4,0
best service for bank staff,banking,2,6,13,1,4,0
dont misguide for opening account,banking,0,1,13,1,4,0
nothing to improve everything was on point crisp and clear your relationship manager should be appreciated for her generous attitude and behaviour,banking,2,2,3,2,6,0
thankyou,banking,2,6,13,1,4,0
process and your executive support is excellent,banking,2,2,13,1,5,0
recommend to other,banking,2,6,13,1,4,0
very nice staff and clear bank policy,banking,2,2,13,1,4,0
account opening should be allowed in the branch,banking,1,5,9,1,4,1
also the person who deals with account opening should explain all the types of account with all its features well before opening of the account because that will help to know the customer the features and accordingly can choose what type of account to open kindly assign more knowledgeable executives who open the account they lack training,banking,0,1,13,1,4,0
yes before opening account via website which was fluent i went to open account directly to a newly opened branch in our area i went on the first day of branch opening and asked them to open the account one of the person there said that account can be opened at my house only so i gave him my address timings and phone number he didnt come i asked him second day he again said he will come but didnt two days later he himself called to come that day yet he didnt then finally i myself opened it online online was very fluent liked it i was also interested in a credit card online person said ill get a call for the same but no one has reached out yet,banking,0,1,2,0,1,3
regardless it was a great experience,banking,2,2,5,2,5,0
good guide and easily know any person in this application lot of congratulations,banking,2,2,3,2,6,0
timeline regarding actual working of the account needs to be communicated to customer,banking,1,5,13,1,4,0
train your agent to only give true information to customer,banking,0,1,13,1,4,0
treat customer politely and hear their asking,banking,1,5,13,1,4,0
best bank for account opening,banking,2,6,13,1,4,0
staff is cooperative while opening the account,banking,2,6,13,1,4,0
trin your agents to be more professional and provide factually correct information they all lie to customers to fulfil their targets,banking,0,1,13,1,4,0
true and fair,banking,2,6,13,1,4,0
please train your staff as always something is told and nothing happens after opening account fed up with this i might close account too if this continues,banking,0,1,3,1,1,2
best account opening experience,banking,2,6,13,1,4,0
unnecessary things told by agent wasting of time,banking,0,1,13,1,4,0
bank executive pradnya dhotre knowledge and guidance in account opening at best,banking,2,6,13,1,4,0
amazing experience i still remember to request someone to be a surety to open a bank account years ago its unbelievable mesmerizing experience after opening at the idfc account without any hassles kudos to the bank for adopting the latest technology and methods to provide customers seamlessly accessing the information,banking,2,2,13,0,5,0
all mail and sms are prewritten but i case of special offer you have not any prewritten communication contain which inform customer and make things clear,banking,0,1,11,1,4,0
atleast from your side a call should arrange that inforn customer that you are availing special benifits and should also explain features of the account or any other bank product which is customer availing,banking,1,5,13,1,4,0
the customer care staff and bank representatives are guided very friendly and given right information did promptly the banking transaction and remittence are so easy to use overs all defferent experience its attracts customer soon you will get customers who shifts from other banks,banking,2,3,2,1,4,0
good behaviour of sales manager mr anil kumar,banking,2,2,13,1,4,0
ambience and vibes of your thane branch looks very dull and boring it needs to be changed to vibrant and appalling,banking,0,1,3,1,4,0
it seems that either thane branch is understaffed or that employees might not be really interested in adding new customers or new business to the branch,banking,0,1,9,1,4,0
response to the customers queries were not really conducive or encouraging for a customer to open a stand alone fd of substantial amount with your bank,banking,0,1,13,1,4,0
we had a time constraint to open a joint account and recieved our card and check book within a week friendly agent promised back end chain was not upto deliver with the result a very poor start of our relationship,banking,0,1,13,0,4,0
third class service took days for opening simple sb account where second holder was existing customer worst experience by me will not recommend to any other person,banking,0,1,13,0,0,2
worst experience ever with any bankwill be closing the account immediately i can login thats to agent its been over a week i cant login due to wrong country code in the nrenro account and then not taking responsibility and no updates,banking,0,0,13,0,0,2
staff nishu is very supportive really appreciate,banking,2,2,3,2,6,0
hope for her future growth in idfc,banking,2,6,13,1,4,0
i was not aware about idfc first bank your bank has all those great banking features which usually bigger banks have the only thing is people are not much aware about your bank in future i will recommend your bank to all my connections,banking,2,2,13,1,5,0
wrongly guide me the agent,banking,0,1,13,1,4,0
it was excellent visiting branch and good guidance by deepa in saibaba colony branch coimbatore,banking,2,2,9,2,5,0
no staff very helpful,banking,2,2,13,1,4,0
your agent is totally unprofessional he didnt keep any of his assurance he doesnt care for precious time value,banking,0,1,13,1,4,0
get your back end it crowd to get in touch with me asap and solve my problems and thereby your banks problems and do some work to earn their wages otherwise change your it staff,banking,0,1,13,0,4,0
improve your online process for online account opening,banking,1,3,13,1,4,0
banks agents are not entertain you if you open your account with lesser minimum balance,banking,0,1,8,0,1,3
many other points needs to consider,banking,1,5,13,1,4,0
account opening was a seamless experience thanks for that,banking,2,2,13,1,6,0
good job by idfc representative jahnvi,banking,2,2,13,1,4,0
i recently opened a savings account with idfc first bank and the experience was smooth and hasslefree the staff was friendly wellinformed and guided me through the entire process with great professionalism i appreciate the transparency and efficiency during the account setup the mobile banking app is userfriendly and i love the zero balance feature along with competitive interest rates overall im very satisfied with the service and would definitely recommend idfc first bank to others,banking,2,2,3,2,5,0
thanks,banking,0,1,13,1,6,0
